questionTitle,slug,difficulty,tags
Two-tailed probability using the omnibus test for normality,https://machinehack.com/practices/calculating-the-two-tail-probability-using-the-omnibus-test-for-normality-56c17.html,Hard,"Statsmodels,Statistics,Function,Array"
Medcouple measure of skewness,https://machinehack.com/practices/calculating-the-medcouple-robust-measure-of-skewness-bb936.html,Hard,"Statsmodels,Statistics,Array,Function"
Durbin-Waston statistic,https://machinehack.com/practices/calculating-the-durbin-waston-statistic-d2c5f.html,Hard,"Statsmodels,Statistics,Function"
Descriptive statistics,https://machinehack.com/practices/computing-the-descriptive-statistics-58790.html,Hard,"Statsmodels,Statistics,Array,Function"
Geometric average,https://machinehack.com/practices/computing-the-geometric-average-92f96.html,Hard,"Statsmodels,Statistics,Array,Function"
The nth moment,https://machinehack.com/practices/calculating-the-nth-moment-a9285.html,Hard,"Statsmodels,Statistics,Array,Function"
The nth k-statistics,https://machinehack.com/practices/calculating-the-nth-k-statistics-ad71e.html,Hard,"Statsmodels,Statistics,Array,Function"
Variance of the k-statistics,https://machinehack.com/practices/calculating-the-variance-of-the-k-statistics-496a0.html,Hard,"Statsmodels,Statistics,Array,Function"
Trimmed mean,https://machinehack.com/practices/calculating-the-trimmed-mean-34014.html,Hard,"Statsmodels,Statistics,Array,Function"
Trimmed variance,https://machinehack.com/practices/calculating-the-trimmed-variance-264fb.html,Hard,"Statsmodels,Statistics,Array,Function"
Trimmed minimum,https://machinehack.com/practices/calculating-the-trimmed-minimum-12a40.html,Hard,"Statsmodels,Statistics,Array,Function"
Trimmed maximum,https://machinehack.com/practices/calculating-the-trimmed-maximum-adad7.html,Hard,"Statsmodels,Statistics,Array,Function"
Trimmed sample standard deviation ,https://machinehack.com/practices/calculating-the-trimmed-sample-standard-deviation-a7cf5.html,Hard,"Statsmodels,Statistics,Array,Function"
Trimmed standard error of the mean,https://machinehack.com/practices/calculating-the-trimmed-standard-error-of-the-mean-2ba51.html,Hard,"Statsmodels,Statistics,Array,Function"
Coefficient of variation,https://machinehack.com/practices/calculating-the-coefficient-of-variation-1497c.html,Hard,"Statsmodels,Statistics,Array,Function"
Geometric standard deviation,https://machinehack.com/practices/calculating-the-geometric-standard-deviation-9fdaf.html,Hard,"Statsmodels,Statistics,Array,Function"
Standard error of the mean,https://machinehack.com/practices/calculating-the-standard-error-of-the-mean-e691e.html,Hard,"Statsmodels,Statistics,Array,Function"
Entropy of a distribution,https://machinehack.com/practices/calculating-the-entropy-of-a-distribution-71d4d.html,Hard,"Statsmodels,Statistics,Array,Function"
Differential entropy of a distribution,https://machinehack.com/practices/calculating-the-differential-entropy-of-a-distribution-d5411.html,Hard,"Statsmodels,Statistics,SciPy,Array"
Median absolute deviation,https://machinehack.com/practices/calculating-the-median-absolute-deviation-c04f7.html,Hard,"Statistics,SciPy,Array,Function"
Repeats and repeat count ,https://machinehack.com/practices/calculating-the-repeats-and-repeat-count-039a2.html,Hard,"SciPy,Array,Function,Statistics"
Cumulative frequency,https://machinehack.com/practices/calculating-the-cumulative-frequency-74205.html,Hard,"Statistics,Function,Array,SciPy"
Item frequencies in an array,https://machinehack.com/practices/calculating-the-item-frequencies-d0dbb.html,Hard,"Statistics,SciPy,Array,Function"
Score at a given percentile,https://machinehack.com/practices/calculating-the-score-at-a-given-percentile-e555a.html,Hard,"Statistics,SciPy,Array"
One-Way ANOVA test for binary population groups,https://machinehack.com/practices/one-way-anova-test-for-binary-population-groups-ac027.html,Hard,"Statistics,SciPy,Array,Function"
One-Way ANOVA test for multiple population groups,https://machinehack.com/practices/one-way-anova-test-for-multiple-population-groups-fa134.html,Hard,"Statistics,Array,Function,SciPy"
T-test for two independent samples,https://machinehack.com/practices/calculating-the-t-test-for-two-independent-samples-6a670.html,Hard,"Statistics,SciPy,Array"
Normality test ,https://machinehack.com/practices/performing-normality-test-e3cae.html,Hard,"Statistics,Array,Function,SciPy"
Kurtosis test ,https://machinehack.com/practices/performing-kurtosis-test-4c58a.html,Hard,"Statistics,Function,Array,SciPy"
Test of skewness ,https://machinehack.com/practices/performing-skewness-test-5e02f.html,Hard,"SciPy,Statistics,Array,Function"
Mood’s two-sample test for equal scale parameters,https://machinehack.com/practices/performing-moods-two-sample-test-for-equal-scale-parameters-a5fc3.html,Hard,"Statistics,SciPy,Array,Function"
Mood’s median test,https://machinehack.com/practices/performing-moods-median-test-d5c11.html,Hard,"Statistics,SciPy,Array,Function"
One-way chi-square test,https://machinehack.com/practices/performing-a-one-way-chi-square-test-9664a.html,Hard,"Statistics,SciPy,Array,Function"
T-test on two related samples,https://machinehack.com/practices/performing-a-t-test-on-two-related-samples-4937d.html,Hard,"Statistics,Array,Function,SciPy"
z-score,https://machinehack.com/practices/calculating-the-z-scores-d7314.html,Hard,"Statistics,SciPy,Array,Function"
Covariance matrix for binary variables,https://machinehack.com/practices/calculating-the-covariance-matrix-for-binary-variables-4fc28.html,Hard,"SciPy,NumPy,Array,Function"
Pearson’s correlation coefficient,https://machinehack.com/practices/calculating-the-pearsons-correlation-coefficient-8b049.html,Hard,"Statistics,SciPy,Function,Array"
Spearman’s correlation coefficient,https://machinehack.com/practices/calculating-the-spearmans-correlation-coefficient-3bc09.html,Hard,"Statistics,SciPy,Function,Array"
Alexander-Govern test ,https://machinehack.com/practices/performing-the-alexander-govern-test-a861a.html,Hard,"Statistics,SciPy,Array,Function"
Correlation measure for ordinal data,https://machinehack.com/practices/calculating-the-correlation-measure-for-ordinal-data-c1298.html,Hard,"Statistics,SciPy,Array,Function"
Somer’s D for two ordinal association ,https://machinehack.com/practices/calculating-the-somers-d-for-two-ordinal-association-51efe.html,Hard,"Statistics,SciPy,Array,Function"
T-test for the mean of one group of scores,https://machinehack.com/practices/performing-t-test-for-the-mean-of-one-group-of-scores-42f3c.html,Hard,"Statistics,Array,Function,SciPy"
Test for homogeneity of variance,https://machinehack.com/practices/test-for-homogeneity-of-variance-f833e.html,Hard,"Statistics,SciPy,Array,Function"
Standard error of the trimmed mean ,https://machinehack.com/practices/calculating-the-standard-error-of-the-trimmed-mean-80825.html,Hard,"Statistics,SciPy,Function,Array"
"Trim an array by masking a certain proportion
",https://machinehack.com/practices/trimming-an-array-by-masking-a-certain-proportion-24e74.html,Hard,"Statistics,Array,SciPy,Function"
Trim the data by masking values from the left tail,https://machinehack.com/practices/trimming-the-data-by-masking-values-from-the-left-tail-97c1e.html,Hard,"Statistics,SciPy,Function,Array"
Trim the data by masking values from the right tail,https://machinehack.com/practices/trimming-the-data-by-masking-values-from-the-right-tail-93cc9.html,Hard,"Statsmodels,SciPy,Function,Array"
Trim the smallest and largest data values,https://machinehack.com/practices/trimming-the-smallest-and-largest-data-values-90148.html,Hard,"Statistics,SciPy,Function,Array"
Windorized version of the array ,https://machinehack.com/practices/printing-a-windorized-version-of-the-array-3af76.html,Hard,"Statistics,SciPy,Function,Array"
Relative z-score ,https://machinehack.com/practices/calculating-the-relative-z-score-fd503.html,Hard,"Statistics,Array,SciPy,Function"
Number of tied values in a sequence ,https://machinehack.com/practices/calculating-the-number-of-tied-values-in-a-sequence-58a6c.html,Hard,"Statistics,SciPy,Array,Function,Dictionary"
Median of two independent groups,https://machinehack.com/practices/comparing-the-median-of-two-independent-groups-8ada7.html,Hard,"Statistics,SciPy,Function,Array"
Alpha-level confidence interval,https://machinehack.com/practices/printing-the-alpha-level-confidence-interval-8163b.html,Hard,"Statistics,SciPy,Function,Array"
Standard error of quantiles of the data,https://machinehack.com/practices/printing-the-standard-error-of-quantiles-of-the-data-4fb26.html,Hard,"Statistics,SciPy,Array,Function"
Lower boundaries of the alpha confidence interval,https://machinehack.com/practices/computing-the-lower-boundaries-of-the-alpha-confidence-interval-51e1b.html,Hard,"Statistics,SciPy,Function,Array"
Upper boundaries of the alpha confidence interval ,https://machinehack.com/practices/computing-the-upper-boundaries-of-the-alpha-confidence-interval-a55c3.html,Hard,"Statistics,SciPy,Array,Function"
"Rosenblatt’s shifted histograms estimator 
",https://machinehack.com/practices/evaluating-rosenblatts-shifted-histograms-estimator-3f784.html,Hard,"Statistics,SciPy,Array,Function"
Harrell-Davis median ,https://machinehack.com/practices/printing-the-harrell-davis-median-90970.html,Hard,"SciPy,Statistics,Array,Function"
Harrell-Davis quantile estimates ,https://machinehack.com/practices/printing-the-harrell-davis-quantile-estimates-7a6f4.html,Hard,"Statistics,Array,Function,SciPy"
Standard error of Harrell-Davis quantile estimates ,https://machinehack.com/practices/computing-the-standard-error-of-harrell-davis-quantile-estimates-7d597.html,Hard,"SciPy,Statistics,Array,Function"
Estimate the lower and upper quartiles,https://machinehack.com/practices/estimating-the-lower-and-upper-quartiles-327a8.html,Hard,"Statistics,SciPy,Function,Array"
Bayesian confidence interval,https://machinehack.com/practices/computing-the-bayesian-confidence-interval-5f55b.html,Hard,"Statistics,Array,Function,SciPy"
Trim an array,https://machinehack.com/practices/trimming-an-array-74109.html,Hard,"Statistics,SciPy,Array,Function"
Range of a distribution,https://machinehack.com/practices/calculating-the-range-197d2.html,Hard,"Statistics,SciPy,Function"
Expected value of a distribution,https://machinehack.com/practices/calculating-the-expected-value-8039c.html,Hard,"Statistics,SciPy,Array,Function"
Probability of drawn colored balls ,https://machinehack.com/practices/calculating-the-probability-of-n-number-of-different-colored-balls-bb70d.html,Hard,"Statistics,SciPy,Array,Function"
Z-score for the significance,https://machinehack.com/practices/calculating-the-z-score-of-different-confidence-intervals-f21ee.html,Hard,"Statistics,SciPy,Function"
Calculate the t-score,https://machinehack.com/practices/calculating-the-t-score-60058.html,Hard,"Statistics,SciPy,Function"
Probability from a normal distribution,https://machinehack.com/practices/calculating-the-probability-of-normal-distribution-9290d.html,Hard,"Statistics,SciPy,Function"
Hypothesis testing ,https://machinehack.com/practices/calculating-the-test-statistics-value-by-performing-hypothesis-testing-123eb.html,Hard,"Statistics,Function"
p-value based on the test statistic,https://machinehack.com/practices/calculating-the-p-value-based-on-the-test-statistic-9eb3a.html,Hard,"Statistics,Function"
Confidence interval for a given population and standard deviation,https://machinehack.com/practices/calculating-the-interval-for-95-confidence-for-a-given-population-standard-deviation-aa9bd.html,Hard,"Statistics,Function"
Confidence interval for a given sample and standard deviation,https://machinehack.com/practices/calculating-the-interval-for-90-confidence-for-a-given-sample-standard-deviation-0b884.html,Hard,"Statistics,SciPy,Function"
Bin numeric elements into discrete intervals,https://machinehack.com/practices/binning-values-into-discrete-intervals-f0c0c.html,Hard,"Pandas,Array,Function,Sorting"
Bin values into discrete intervals based on the number of quantiles ,https://machinehack.com/practices/binning-values-into-discrete-intervals-based-on-the-number-of-quantiles-3ed04.html,Hard,"Pandas,Array,Function"
Concatenate pandas objects,https://machinehack.com/practices/concatenating-objects-along-a-particular-axis-4cb50.html,Hard,"Pandas,Array,Function,Sorting"
Array into dummy variables ,https://machinehack.com/practices/conversion-of-an-array-into-dummy-variables-54e5a.html,Hard,"Pandas,Dictionary,Function"
String into dummy variables ,https://machinehack.com/practices/conversion-of-a-string-into-dummy-variables-32c2c.html,Hard,"Pandas,String,Function"
Factorization of a sequence,https://machinehack.com/practices/factorization-of-a-sequence-802de.html,Hard,"Pandas,Function,Array"
Unique elements based on a hash table,https://machinehack.com/practices/printing-the-unique-values-37c4c.html,Hard,"Pandas,Array,Sorting,Function"
Date from multiple keys of a dictionary,https://machinehack.com/practices/printing-a-date-from-multiple-keys-of-a-dictionary-0b4ac.html,Hard,"Pandas,Function,Dictionary"
Unix epoch time into a Datetime object ,https://machinehack.com/practices/converting-a-unix-epoch-time-into-a-date-time-object-d0813.html,Hard,"Pandas,Function"
String to a Pandas datetime object ,https://machinehack.com/practices/converting-a-string-to-a-date-557aa.html,Hard,"Pandas,Function,String"
Replace missing values with the mode,https://machinehack.com/practices/replacing-nan-values-with-the-mode-for-a-categorical-column-3cb00.html,Hard,"Pandas,Dictionary,Function,DataFrame"
New columns ,https://machinehack.com/practices/printing-a-new-column-based-on-a-condition-b2a2f.html,Hard,"Pandas,List,DataFrame"
Replace missing values with mean,https://machinehack.com/practices/replacing-nan-values-with-mean-in-a-dataframe-17379.html,Hard,"Pandas,Dictionary,DataFrame"
Pandas series from a list,https://machinehack.com/practices/printing-the-pandas-series-from-a-list-4037e.html,Hard,"Pandas,List,Function,DataFrame"
Rename dataframe columns,https://machinehack.com/practices/renaming-of-columns-in-a-data-frame-c9344.html,Hard,"Pandas,Dictionary,DataFrame"
Split the dataframe column,https://machinehack.com/practices/splitting-a-text-column-into-two-columns-37a09.html,Hard,"Pandas,Dictionary,Function,DataFrame"
Area of a rectangle,https://machinehack.com/practices/printing-the-area-of-a-rectangle-based-on-given-parameters-cae92.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Column difference,https://machinehack.com/practices/printing-the-difference-between-two-columns-0fc13.html,Hard,"DataFrame,Pandas,Dictionary,Function"
 Drop columns,https://machinehack.com/practices/dropping-columns-in-a-dataframe-8c339.html,Hard,"DataFrame,Pandas,Function,Dictionary"
Column as index of dataframe,https://machinehack.com/practices/converting-a-column-values-into-indexes-8c9aa.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Dataframe from a list of tuples,https://machinehack.com/practices/creating-a-pandas-data-frame-using-a-list-of-tuples-09157.html,Hard,"DataFrame,Pandas,List,Function"
Re-indexing without removing the default index ,https://machinehack.com/practices/creating-a-new-index-without-removing-the-default-index-15db1.html,Hard,"DataFrame,Pandas,Dictionary,Function"
"Create a DataFrame based on given indexes 
",https://machinehack.com/practices/create-a-dataframe-with-defined-indexes-55f27.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Dataframe from a 1-dimensional list,https://machinehack.com/practices/creating-a-data-frame-with-a-1-dimensional-list-db55e.html,Hard,"DataFrame,Pandas,List,Function"
Dataframe with a 2D list ,https://machinehack.com/practices/creating-a-data-frame-with-a-2d-list-77899.html,Hard,"DataFrame,Pandas,List,Function"
Transpose of a dataframe ,https://machinehack.com/practices/transposing-a-data-frame-02024.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Reverse the dataframe rows,https://machinehack.com/practices/reversing-rows-in-a-pandas-dataframe-c967f.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Filter a dataframe based on index,https://machinehack.com/practices/filtering-data-frame-based-on-index-e39a9.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Merge Data Frame along the column,https://machinehack.com/practices/merging-data-frame-based-on-condition-f58d3.html,Hard,"DataFrame,Pandas,Dictionary,Function"
" Element at the last index of a dataframe 
",https://machinehack.com/practices/accessing-index-of-last-element-in-a-data-frame-62cdf.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Replace special characters in a dataframe ,https://machinehack.com/practices/replacing-a-special-character-from-strings-in-a-data-frame-711bf.html,Hard,"Pandas,DataFrame,Dictionary,Function"
Alter elements of a dataframe,https://machinehack.com/practices/replacing-a-character-from-strings-in-the-data-frame-feeaa.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Select from a dataframe,https://machinehack.com/practices/filtering-the-data-frame-based-on-a-limit-condition-537fa.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Extract from a dataframe using boolean indexing with mask variable,https://machinehack.com/practices/splitting-the-data-frame-using-boolean-indexing-with-mask-variable-386d3.html,Hard,"DataFrame,Pandas,Dictionary,Function"
 Extract from a dataframe using boolean indexing with inverted mask variable,https://machinehack.com/practices/splitting-the-data-frame-using-boolean-indexing-with-inverted-mask-variable-c41b1.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Create a dataframe by grouping the rows,https://machinehack.com/practices/creating-a-data-frame-by-grouping-the-rows-29e02.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Grouping the dataframe rows,https://machinehack.com/practices/creating-a-data-frame-by-grouping-the-rows-based-on-numerical-condition-25692.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Difference between dataframe rows,https://machinehack.com/practices/finding-the-difference-between-two-consecutive-data-frame-rows-f7ca6.html,Hard,"DataFrame,Pandas,List,Function"
Difference between two consecutive rows with a user-defined period,https://machinehack.com/practices/finding-the-difference-between-two-consecutive-rows-with-a-user-defined-period-d0957.html,Hard,"DataFrame,Pandas,List,Function"
Duplicated rows in a dataframe,https://machinehack.com/practices/printing-the-duplicated-rows-in-a-data-frame-50330.html,Hard,"DataFrame,Pandas,List,Function"
" Drop the duplicate values from the dataframe
",https://machinehack.com/practices/dropping-the-duplicated-values-from-the-data-frame-b3cd7.html,Hard,"DataFrame,Pandas,List,Function"
Column names in a dataframe ,https://machinehack.com/practices/printing-the-column-names-in-a-data-frame-5ff2c.html,Hard,"DataFrame,Pandas,Dictionary,Function"
 Multiplication of two dataframes ,https://machinehack.com/practices/multiplication-of-two-data-frames-96080.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Missing values in a dataframe,https://machinehack.com/practices/handling-the-missing-values-in-a-data-frame-3bcaa.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Median over the vertical axis in a dataframe ,https://machinehack.com/practices/computing-the-median-over-the-vertical-axis-in-a-data-frame-401d2.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Median over the horizontal axis in a dataframe,https://machinehack.com/practices/computing-the-median-over-the-horizontal-axis-in-a-data-frame-58fb1.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Division of the data frame using a series ,https://machinehack.com/practices/division-of-the-data-frame-using-a-series-4b2d7.html,Hard,"DataFrame,Pandas,Dictionary,Function"
 Division of a data frame using another data frame,https://machinehack.com/practices/division-of-a-data-frame-using-another-data-frame-300c1.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Division of a dataframe by a series,https://machinehack.com/practices/integer-division-of-the-data-frame-using-a-series-d8e53.html,Hard,"DataFrame,Pandas,Dictionary,Function,List"
Division of a dataframe with another dataframe ,https://machinehack.com/practices/integer-division-of-a-data-frame-using-another-data-frame-9c214.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Integer to date,https://machinehack.com/practices/converting-an-integer-to-a-date-5fe61.html,Hard,"DataFrame,Pandas,Function"
Merge dataframes based on given index ,https://machinehack.com/practices/merging-two-data-frames-based-on-index-03dd9.html,Hard,"DataFrame,Pandas,Dictionary,Function"
"Concatenate dataframes on horizontal axis
",https://machinehack.com/practices/concatenating-two-data-frames-on-horizontal-axis-de932.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Exclude a column in dataframe,https://machinehack.com/practices/printing-a-data-frame-excluding-a-single-column-2641f.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Exclude multiple dataframe columns,https://machinehack.com/practices/printing-a-data-frame-excluding-a-multiple-column-114d4.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Quantile values for a binary group,https://machinehack.com/practices/computing-the-quantile-values-for-a-binary-group-in-a-data-frame-4d8cb.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Quantile values for multiple groups,https://machinehack.com/practices/computing-the-quantile-values-for-multiple-groups-in-a-data-frame-ae5f9.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Rolling median,https://machinehack.com/practices/computing-the-rolling-median-of-a-data-frame-27713.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Drop the first row of the dataframe,https://machinehack.com/practices/dropping-the-first-row-of-the-data-frame-using-tail-function-474ab.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Drop rows of a dataframe,https://machinehack.com/practices/dropping-rows-in-a-dataframe-3eca8.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Drop dataframe row using index,https://machinehack.com/practices/dropping-the-last-row-of-the-data-frame-using-index-location-function-f3ebd.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Drop rows that contain string,https://machinehack.com/practices/dropping-rows-using-a-partial-string-7a101.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Minimum value in a dataframe row,https://machinehack.com/practices/printing-the-minimum-value-in-a-data-frame-row-59ea7.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Maximum value in the dataframe row,https://machinehack.com/practices/printing-the-maximum-value-in-a-data-frame-row-8f463.html,Hard,"DataFrame,Pandas,Dictionary,Function"
Minimum value in the dataframe column,https://machinehack.com/practices/printing-the-minimum-value-in-a-data-frame-column-f8e68.html,Hard,"DataFrame,Dictionary,Pandas,Function"
Maximum value in the dataframe column,https://machinehack.com/practices/printing-the-maximum-value-in-a-data-frame-column-9ce84.html,Hard,"DataFrame,Pandas,Dictionary,Function"
